City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,miri,4.4148,114.0089,78.94,94,40,3.44,MY,1735248375
347,ixtapa,20.7,-105.2,78.22,50,0,4.61,MX,1735248377
348,ban nam yuen,9.8769,98.8659,73.08,95,85,0.25,TH,1735248378
349,polyarnyye zori,67.3661,32.4981,31.91,70,27,17.4,RU,1735248379
350,sao desiderio,-12.3633,-44.9733,80.51,53,97,2.33,BR,1735248380
351,papao,-17.75,-149.55,83.88,74,100,12.06,PF,1735248381
352,remire-montjoly,4.9167,-52.2667,77.04,94,75,4.61,GF,1735248384
353,crane,31.3974,-102.3501,63.03,25,0,17.96,US,1735248385
354,hammerfest,70.6634,23.6821,34.25,75,75,24.16,NO,1735248386
355,godda,24.8333,87.2167,61.27,50,0,2.19,IN,1735248387
356,lutsk,50.7593,25.3424,30.15,80,25,6.38,UA,1735248388
357,westport,41.1415,-73.3579,36.19,58,0,4.61,US,1735248294
358,nchelenge,-9.3451,28.734,72.81,82,43,3.98,ZM,1735248391
359,tahe,52.3333,124.7333,-10.8,92,25,4.9,CN,1735248392
360,suva,-18.1416,178.4415,76.48,100,75,3.44,FJ,1735248393
361,kununurra,-15.7667,128.7333,80.58,94,58,6.91,AU,1735248394
362,huatabampo,26.8333,-109.6333,74.41,42,3,10.09,MX,1735248395
